LinkRole,http://www.xbrl.org/2003/role/link,,,,,,,,,,,,,,,,
Definition,,,,,,,,,,,,,,,,,
,,,,,,ref,,,,,,,,,,,
13,dart,ProvisionForImpairmentOfReceivablesFromContractsWithCustomersAtEndOfPeriod,고객과의 계약에서 생기는 수취채권 손실충당금,,http://www.xbrl.org/2003/role/disclosureRef,IFRS,15,한129.1,,,,,,,,dart_all,
14,dart,ChangesInEstimatedTotalContractRevenueAndCostsTable,총계약수익과 총계약원가의 추정치 변경 [표],,http://www.xbrl.org/2003/role/disclosureRef,IAS,8,39,,,,,,,,dart_all,
15,dart,ChangesInEstimatedTotalContractRevenueAndCostsExplanatory,총계약수익과 총계약원가의 추정치 변경 [문장영역],,http://www.xbrl.org/2003/role/disclosureRef,IAS,8,39,,,,,,,,dart_all,
16,dart,SourceOfChangeInAmountAxis,금액 변동의 원천 [축],,http://www.xbrl.org/2003/role/disclosureRef,IFRS,15,한129.4,,,,,,,,dart_all,
17,dart,SourceOfChangeInAmountMember,금액 변동의 원천 [구성요소],,http://www.xbrl.org/2003/role/disclosureRef,IFRS,15,한129.4,,,,,,,,dart_all,
18,dart,IncreaseDecreaseDueToChangesInAccountingEstimateMember,회계추정의 증가(감소) [구성요소],,http://www.xbrl.org/2003/role/disclosureRef,IFRS,15,한129.4,,,,,,,,dart_all,
19,dart,InformationForEachOperatingSegmentForTheContractsThatApplyCostBasedOnInputMethodToMeasurePercentage-Of-CompletionExplanatory,발생원가에 기초한 투입법을 진행률 측정에 사용하는 계약에 대한 영업부문별 정보 [문장영역],,http://www.xbrl.org/2003/role/disclosureRef,IFRS,15,한129.4,,,,,,,,dart_all,
20,dart,ContractApplyingCost-BasedInputMethodExplanatory,직전 회계연도 매출액의 5 퍼센트 이상인 경우의 계약별 정보 [문장영역],,http://www.xbrl.org/2003/role/disclosureRef,IFRS,15,한129.1,,,,,,,,dart_all,
21,dart,TotalForContractAxis,전체 계약 [축],,http://www.xbrl.org/2003/role/disclosureRef,IFRS,15,한129.1,,,,,,,,dart_all,
22,dart,TotalForContractMember,전체 계약 [구성요소],,http://www.xbrl.org/2003/role/disclosureRef,IFRS,15,한129.1,,,,,,,,dart_all,
23,dart,CapitalisedResearchAndDevelopmentExpenseForPhase1ForClinicalResearch,"임상 1상 시점의 자산화된 연구개발비, 바이오 제약",,http://www.xbrl.org/2003/role/disclosureRef,제약․바이오 기업의 연구개발비 회계처리 관련 감독지침,,,2018-09-19,,,,,,,dart_all,
24,dart,CapitalisedResearchAndDevelopmentExpenseForPhase2ForClinicalResearch,"임상 2상 시점의 자산화된 연구개발비, 바이오 제약",,http://www.xbrl.org/2003/role/disclosureRef,제약․바이오 기업의 연구개발비 회계처리 관련 감독지침,,,2018-09-19,,,,,,,dart_all,
25,dart,CapitalisedResearchAndDevelopmentExpenseForPhase3ForClinicalResearch,"임상 3상 시점의 자산화된 연구개발비, 바이오 제약",,http://www.xbrl.org/2003/role/disclosureRef,제약․바이오 기업의 연구개발비 회계처리 관련 감독지침,,,2018-09-19,,,,,,,dart_all,
26,dart,CapitalisedResearchAndDevelopmentExpenseForApprovalForNewDrug,"판매승인 시점의 자산화된 연구개발비, 바이오 제약",,http://www.xbrl.org/2003/role/disclosureRef,제약․바이오 기업의 연구개발비 회계처리 관련 감독지침,,,2018-09-19,,,,,,,dart_all,
27,dart,GrossCapitalisedResearchAndDevelopmentExpenseForBioindustry,"자산화된 연구개발비, 바이오 제약, 총액",,http://www.xbrl.org/2003/role/disclosureRef,제약․바이오 기업의 연구개발비 회계처리 관련 감독지침,,,2018-09-19,,,,,,,dart_all,
28,dart,ResearchAndDevelopmentExpenseForBioindustryTable,연구개발비 자산화 금액 - 바이오 업종 공시 [표],,http://www.xbrl.org/2003/role/disclosureRef,제약․바이오 기업의 연구개발비 회계처리 관련 감독지침,,,2018-09-19,,,,,,,dart_all,
29,dart,PhaseForResearchAndDevelopmentExpenseForBioindustryAxis,"신약 개발 단계, 바이오 제약 [축]",,http://www.xbrl.org/2003/role/disclosureRef,제약․바이오 기업의 연구개발비 회계처리 관련 감독지침,,,2018-09-19,,,,,,,dart_all,
30,dart,PhaseForResearchAndDevelopmentExpenseForBioindustryMember,"신약 개발 단계, 바이오 제약 [구성요소]",,http://www.xbrl.org/2003/role/disclosureRef,제약․바이오 기업의 연구개발비 회계처리 관련 감독지침,,,2018-09-19,,,,,,,dart_all,
31,dart,CategoriesOfNewDrugsForBioindustryAxis,"신약 구분, 바이오 제약 [축]",,http://www.xbrl.org/2003/role/disclosureRef,제약․바이오 기업의 연구개발비 회계처리 관련 감독지침,,,2018-09-19,,,,,,,dart_all,
32,dart,CategoriesOfNewDrugsForBioindustryMember,"신약 구분, 바이오 제약 [구성 요소]",,http://www.xbrl.org/2003/role/disclosureRef,제약․바이오 기업의 연구개발비 회계처리 관련 감독지침,,,2018-09-19,,,,,,,dart_all,
33,dart,IndividualAssetForBioindustryAxis,"개별 자산, 바이오 제약 [축]",,http://www.xbrl.org/2003/role/disclosureRef,제약․바이오 기업의 연구개발비 회계처리 관련 감독지침,,,2018-09-19,,,,,,,dart_all,
34,dart,IndividualAssetForBioindustryMember,"개별 자산, 바이오 제약 [구성요소]",,http://www.xbrl.org/2003/role/disclosureRef,제약․바이오 기업의 연구개발비 회계처리 관련 감독지침,,,2018-09-19,,,,,,,dart_all,
35,dart,CapitalisedResearchAndDevelopmentExpenseForBioindustry,"장부금액, 자산화된 연구개발비, 바이오 제약",,http://www.xbrl.org/2003/role/disclosureRef,제약․바이오 기업의 연구개발비 회계처리 관련 감독지침,,,2018-09-19,,,,,,,dart_all,
36,dart,AccumulatedImpairmentForCapitalisedResearchAndDevelopmentExpenseForBioindustry,"손상차손누계액, 자산화된 연구개발비, 바이오 제약",,http://www.xbrl.org/2003/role/disclosureRef,제약․바이오 기업의 연구개발비 회계처리 관련 감독지침,,,2018-09-19,,,,,,,dart_all,
37,dart,RemainingAmortisationPeriodOfResearchAndDevelopmentExpenseForBioindustry,"잔여상각기간, 연구개발비, 바이오 제약",,http://www.xbrl.org/2003/role/disclosureRef,제약․바이오 기업의 연구개발비 회계처리 관련 감독지침,,,2018-09-19,,,,,,,dart_all,
38,dart,ResearchAndDevelopmentExpenseForBioindustryExplanatory,연구개발비 자산화 금액 - 바이오 업종 공시 [문장영역],,http://www.xbrl.org/2003/role/disclosureRef,제약․바이오 기업의 연구개발비 회계처리 관련 감독지침,,,2018-09-19,,,,,,,dart_all,
39,dart,InformationForEachOperatingSegmentForTheContractsThatApplyCostBasedOnInputMethodToMeasurePercentage-Of-CompletionTable,발생원가에 기초한 투입법을 진행률 측정에 사용하는 계약에 대한 영업부문별 정보 [표],,http://www.xbrl.org/2003/role/disclosureRef,IFRS,15,한129.4,,,,,,,,dart_all,
40,dart,UnappropriatedRetainedEarnings,미처분이익잉여금,,http://www.xbrl.org/2003/role/disclosureRef,IAS,1,한138.1,,,,,,,,dart_all,
41,dart,TransfersSuchAsDiscretionaryReserves,임의적립금 등의 이입액,,http://www.xbrl.org/2003/role/disclosureRef,IAS,1,한138.1,,,,,,,,dart_all,
42,dart,TransfersFromResearchAndDevelopmentReserves,연구및인력개발준비금 이입,,http://www.xbrl.org/2009/role/commonPracticeRef,IAS,1,한138.1,,,,,,,,dart_all,
43,dart,RetainedEarningsAvailableForAppropriation,사용가능 이익잉여금,,http://www.xbrl.org/2003/role/disclosureRef,IAS,1,한138.1,,,,,,,,dart_all,
44,dart,AppropriationOfRetainedEarnings,이익잉여금 처분액,,http://www.xbrl.org/2003/role/disclosureRef,IAS,1,한138.1,,,,,,,,dart_all,
45,dart,AppropriationThroughTransferToStatutoryReserve,법정적립금 이전 처분,,http://www.xbrl.org/2003/role/disclosureRef,IAS,1,한138.1,,,,,,,,dart_all,
46,dart,AppropriationOfResearchAndDevelopmentReserves,연구및인력개발준비금 처분,,http://www.xbrl.org/2003/role/disclosureRef,IAS,1,한138.1,,,,,,,,dart_all,
47,dart,UnappropriatedRetainedEarningsToBeCarriedForward,차기이월 미처분이익잉여금,,http://www.xbrl.org/2003/role/disclosureRef,IAS,1,한138.1,,,,,,,,dart_all,
48,dart,DividendsPaidPreferredSharesPerShare,우선주에 지급된 주당배당금,,http://www.xbrl.org/2009/role/commonPracticeRef,IAS,1,한138.1,,,,,,,,dart_all,
49,dart,DividendsRateforOrdinarySharesPerShare,보통주 주당 배당률,,http://www.xbrl.org/2009/role/commonPracticeRef,IAS,1,한138.1,,,,,,,,dart_all,
50,dart,DividendsRateforPreferredSharesPerShare,우선주 주당 배당률,,http://www.xbrl.org/2009/role/commonPracticeRef,IAS,1,한138.1,,,,,,,,dart_all,
51,dart,UnappropriatedRetainedEarningsCarriedOverFromPriorYear,전기이월이익잉여금,,http://www.xbrl.org/2003/role/disclosureRef,IAS,1,한138.1,,,,,,,,dart_all,
52,dart,IncreaseDecreaseDueToChangesInAccountingPolicy,회계정책의 변경에 따른 증가(감소),,http://www.xbrl.org/2009/role/commonPracticeRef,IAS,1,한138.1,,,,,,,,dart_all,
53,dart,ReclassificationOfGainOnDisposalOfEquityInstrumentsAtFairValueThroughOtherComprehensiveIncomeNetOfTax,기타포괄손익-공정가치 측정 금융상품의 처분이익 재분류,,http://www.xbrl.org/2009/role/commonPracticeRef,IAS,1,한138.1,,,,,,,,dart_all,
54,dart,DividendsPayableOrdinarySharesPerShare,보통주에 지급될 주당배당금,,http://www.xbrl.org/2009/role/commonPracticeRef,IAS,1,한138.1,,,,,,,,dart_all,
55,dart,DividendsPayablePreferredSharesPerShare,우선주에 지급될 주당배당금,,http://www.xbrl.org/2009/role/commonPracticeRef,IAS,1,한138.1,,,,,,,,dart_all,
56,dart,DecreaseOfRightofuseAssetsDueToTerminationOrCancellationOfLeaseContracts,"계약 종료 또는 해지로 인한 감소, 사용권자산",,http://www.xbrl.org/2009/role/commonPracticeRef,IFRS,16,,,,,,,,,dart_all,
57,dart,IncreaseDecreaseThroughOtherChangesRightofuseAssets,"기타 변동에 따른 증가(감소), 사용권자산",,http://www.xbrl.org/2009/role/commonPracticeRef,IFRS,16,,,,,,,,,dart_all,
58,dart,StatementOfAppropriationOfRetainedEarningsExplanatory,이익잉여금 처분계산서 [문장영역],,http://www.xbrl.org/2003/role/disclosureRef,IAS,1,한138.1,,,,,,,,dart_all,
59,dart,IncreaseDecreaseThroughTransactionsWithOwnersAbstract,소유주와의 거래 [개요],,http://www.xbrl.org/2009/role/commonPracticeRef,IAS,1,106,,,,,,,,dart_all,
60,dart,AdjustmentsForBadDebtExpenses,대손상각비 조정,,http://www.xbrl.org/2009/role/commonPracticeRef,IAS,7,20,,,,,,,,dart_all,
61,dart,AdjustmentsForReversalAllowanceDoubtfulAccounts,대손충당금환입,,http://www.xbrl.org/2009/role/commonPracticeRef,IAS,7,20,,,,,,,,dart_all,
62,dart,AdjustmentsForAssetsLiabilitiesOfOperatingActivities,영업활동으로 인한 자산 부채의 변동,,http://www.xbrl.org/2009/role/commonPracticeRef,IAS,7,20,,,,,,,,dart_all,
63,dart,GainsLossesOnChangeInFairValueOfFinancialInstrumentsAtFairValueThroughProfitOrLoss,당기손익-공정가치측정금융상품평가손익 조정,,http://www.xbrl.org/2009/role/commonPracticeRef,IAS,7,20,,,,,,,,dart_all,
64,dart,GainsOnChangeInFairValueOfFinancialInstrumentsAtFairValueThroughProfitOrLoss,당기손익-공정가치측정금융상품평가이익 조정,,http://www.xbrl.org/2009/role/commonPracticeRef,IAS,7,20,,,,,,,,dart_all,
65,dart,GainsOnValuationOfFairValueFinancialAsset,당기손익인식금융자산평가이익,,http://www.xbrl.org/2009/role/commonPracticeRef,IAS,7,20,,,,,,,,dart_all,
66,dart,GainsLossesOnDisposalsOfFinancialInstrumentsAtFairValueThroughProfitOrLoss,당기손익-공정가치측정금융상품처분손익 조정,,http://www.xbrl.org/2009/role/commonPracticeRef,IAS,7,20,,,,,,,,dart_all,
67,dart,GainsOnValuationOfFairValueFinancialLiabilities,당기손익인식금융부채평가이익,,http://www.xbrl.org/2009/role/commonPracticeRef,IAS,7,20,,,,,,,,dart_all,
68,dart,LossesOnChangeInFairValueOfFinancialInstrumentsAtFairValueThroughProfitOrLoss,당기손익-공정가치측정금융상품평가손실,,http://www.xbrl.org/2009/role/commonPracticeRef,IAS,7,20,,,,,,,,dart_all,
69,dart,LossesOnValuationOfFairValueFinancialAsset,당기손익인식금융자산평가손실,,http://www.xbrl.org/2009/role/commonPracticeRef,IAS,7,20,,,,,,,,dart_all,
70,dart,LossesOnValuationOfFairValueFinancialLiabilities,당기손익인식금융부채평가손실,,http://www.xbrl.org/2009/role/commonPracticeRef,IAS,7,20,,,,,,,,dart_all,
71,dart,LossesOnChangeInFairValueOfFinancialLiabilitiesDesignatedAtFairValueThroughProfitOrLoss,당기손익-공정가치인식지정금융부채평가손실,,http://www.xbrl.org/2009/role/commonPracticeRef,IAS,7,20,,,,,,,,dart_all,
72,dart,GainsOnDisposalsOfFinancialInstrumentsAtFairValueThroughProfitOrLoss,당기손익-공정가치측정금융상품처분이익 조정,,http://www.xbrl.org/2009/role/commonPracticeRef,IAS,7,20,,,,,,,,dart_all,
73,dart,GainsOnDisposalsOfFairValueFinancialAsset,당기손익인식금융자산처분이익,,http://www.xbrl.org/2009/role/commonPracticeRef,IAS,7,20,,,,,,,,dart_all,
74,dart,GainsOnDisposalsOfFairValueFinancialLiabilities,당기손익인식금융부채처분이익,,http://www.xbrl.org/2009/role/commonPracticeRef,IAS,7,20,,,,,,,,dart_all,
75,dart,LossesOnDisposalsOfFinancialInstrumentsAtFairValueThroughProfitOrLoss,당기손익-공정가치측정금융상품처분손실,,http://www.xbrl.org/2009/role/commonPracticeRef,IAS,7,20,,,,,,,,dart_all,
76,dart,LossesOnDisposalOfFairValueFinancialAsset,당기손익인식금융자산처분손실,,http://www.xbrl.org/2009/role/commonPracticeRef,IAS,7,20,,,,,,,,dart_all,
77,dart,LossesOnDisposalOfFairValueFinancialLiabilities,당기손익인식금융부채처분손실,,http://www.xbrl.org/2009/role/commonPracticeRef,IAS,7,20,,,,,,,,dart_all,
78,dart,GainsLossesOnDisposalsOfFinancialAssetsAtFairValueThroughOtherComprehensiveIncome,기타포괄손익-공정가치측정금융자산처분손익 조정,,http://www.xbrl.org/2009/role/commonPracticeRef,IAS,7,20,,,,,,,,dart_all,
79,dart,GainsOnDisposalsOfFinancialAssetsAtFairValueThroughOtherComprehensiveIncome,기타포괄손익-공정가치측정금융자산처분이익 조정,,http://www.xbrl.org/2009/role/commonPracticeRef,IAS,7,20,,,,,,,,dart_all,
80,dart,LossesOnDisposalsOfFinancialAssetsAtFairValueThroughOtherComprehensiveIncome,기타포괄손익-공정가치측정금융자산처분손실,,http://www.xbrl.org/2009/role/commonPracticeRef,IAS,7,20,,,,,,,,dart_all,
81,dart,ImpairmentLossOfFinancialAssetsAtFairValueThroughOtherComprehensiveIncome,기타포괄손익-공정가치측정금융자산손상차손,,http://www.xbrl.org/2009/role/commonPracticeRef,IAS,7,20,,,,,,,,dart_all,
82,dart,ReversalOfImpairmentLossOfFinancialAssetsAtFairValueThroughOtherComprehensiveIncome,기타포괄손익-공정가치측정금융자산손상차손환입 조정,,http://www.xbrl.org/2009/role/commonPracticeRef,IAS,7,20,,,,,,,,dart_all,
83,dart,AdjustmentsForGainsOnDisposalsOfPropertyPlantAndEquipment,유형자산처분이익의 조정,,http://www.xbrl.org/2009/role/commonPracticeRef,IAS,7,20,,,,,,,,dart_all,
84,dart,AdjustmentsForLossesOnDisposalsOfPropertyPlantAndEquipment,유형자산처분손실의 조정,,http://www.xbrl.org/2009/role/commonPracticeRef,IAS,7,20,,,,,,,,dart_all,
85,dart,AdjustmentsForGainLossOnDisposalsOfIntangibleAssets,무형자산처분손익 조정,,http://www.xbrl.org/2009/role/commonPracticeRef,IAS,7,20,,,,,,,,dart_all,
86,dart,AdjustmentsForGainsOnDisposalsOfIntangibleAssets,무형자산처분이익 조정,,http://www.xbrl.org/2009/role/commonPracticeRef,IAS,7,20,,,,,,,,dart_all,
87,dart,AdjustmentsForLossesOnDisposalsOfIntangibleAssets,무형자산처분손실 조정,,http://www.xbrl.org/2009/role/commonPracticeRef,IAS,7,20,,,,,,,,dart_all,
88,dart,AdjustmentsForGainLossOnDisposalsOfInvestmentProperty,투자부동산처분손익 조정,,http://www.xbrl.org/2009/role/commonPracticeRef,IAS,7,20,,,,,,,,dart_all,
89,dart,AdjustmentsForGainsOnDisposalsOfInvestmentProperty,투자부동산처분이익 조정,,http://www.xbrl.org/2009/role/commonPracticeRef,IAS,7,20,,,,,,,,dart_all,
90,dart,AdjustmentsForLossesOnDisposalsOfInvestmentProperty,투자부동산처분손실 조정,,http://www.xbrl.org/2009/role/commonPracticeRef,IAS,7,20,,,,,,,,dart_all,
91,dart,AdjustmentsForLossesOnAbandonmentOfPropertyPlantAndEquipment,유형자산폐기손실 조정,,http://www.xbrl.org/2009/role/commonPracticeRef,IAS,7,20,,,,,,,,dart_all,
92,dart,AdjustmentsForImpairmentLossesOfPropertyPlantAndEquipment,유형자산손상차손 조정,,http://www.xbrl.org/2009/role/commonPracticeRef,IAS,7,20,,,,,,,,dart_all,
93,dart,AdjustmentsForReversalsOfPropertyPlantAndEquipment,유형자산손상차손환입 조정,,http://www.xbrl.org/2009/role/commonPracticeRef,IAS,7,20,,,,,,,,dart_all,
94,dart,AdjustmentsForImpairmentLossesOfIntangibleAssets,무형자산손상차손 조정,,http://www.xbrl.org/2009/role/commonPracticeRef,IAS,7,20,,,,,,,,dart_all,
95,dart,AdjustmentsForReversalsOfImpairmentLossesOnIntangibleAssets,무형자산손상차손환입 조정,,http://www.xbrl.org/2009/role/commonPracticeRef,IAS,7,20,,,,,,,,dart_all,
96,dart,AdjustmentsForImpairmentLossesOfInvestmentAssets,투자자산손상차손 조정,,http://www.xbrl.org/2009/role/commonPracticeRef,IAS,7,20,,,,,,,,dart_all,
97,dart,AdjustmentsForReversalOfImpairmentLossOfInvestmentProperty,투자부동산손상차손환입 조정,,http://www.xbrl.org/2009/role/commonPracticeRef,IAS,7,20,,,,,,,,dart_all,
98,dart,AdjustmentsForGainsOnChangeInFairValueOfDerivatives,파생상품평가이익 조정,,http://www.xbrl.org/2009/role/commonPracticeRef,IAS,7,20,,,,,,,,dart_all,
99,dart,AdjustmentsForLossesOnChangeInFairValueOfDerivatives,파생상품평가손실 조정,,http://www.xbrl.org/2009/role/commonPracticeRef,IAS,7,20,,,,,,,,dart_all,
100,dart,AdjustmentsForOtherBadDebtExpenses,기타의 대손상각비 조정,,http://www.xbrl.org/2009/role/commonPracticeRef,IAS,7,20,,,,,,,,dart_all,
101,dart,AdjustmentsForReversalOtherAllowanceAccountForCreditLosses,기타대손충당금 환입,,http://www.xbrl.org/2009/role/commonPracticeRef,IAS,7,20,,,,,,,,dart_all,
102,dart,AdjustmentsForGainOnForeignExchangeTranslations,외화환산이익 조정,,http://www.xbrl.org/2009/role/commonPracticeRef,IAS,7,20,,,,,,,,dart_all,
103,dart,AdjustmentsForLossesOnForeignExchangeTranslations,외화환산손실 조정,,http://www.xbrl.org/2009/role/commonPracticeRef,IAS,7,20,,,,,,,,dart_all,
104,dart,AdjustmentsForProfitsOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,지분법이익 조정,,http://www.xbrl.org/2009/role/commonPracticeRef,IAS,7,20,,,,,,,,dart_all,
105,dart,AdjustmentsForLossesOfAssociatesAndJointVenturesAccountedForUsingEquityMethod,지분법손실 조정,,http://www.xbrl.org/2009/role/commonPracticeRef,IAS,7,20,,,,,,,,dart_all,
106,dart,AdjustmentsForGainLossOnDisposalOfInvestmentsInSubsidiaries,종속기업투자자산처분손익 조정,,http://www.xbrl.org/2009/role/commonPracticeRef,IAS,7,20,,,,,,,,dart_all,
107,dart,AdjustmentsForGainLossOnDisposalOfInvestmentsInAssociates,관계기업투자자산처분손익,,http://www.xbrl.org/2009/role/commonPracticeRef,IAS,7,20,,,,,,,,dart_all,
108,dart,AdjustmentsForGainOnDisposalOfInvestmentsInSubsidiaries,종속기업투자자산처분이익 조정,,http://www.xbrl.org/2009/role/commonPracticeRef,IAS,7,20,,,,,,,,dart_all,
109,dart,AdjustmentsForLossOnDisposalOfInvestmentsInSubsidiaries,종속기업투자자산처분손실,,http://www.xbrl.org/2009/role/commonPracticeRef,IAS,7,20,,,,,,,,dart_all,
110,dart,AdjustmentsForGainOnDisposalOfInvestmentsInAssociates,관계기업투자자산처분이익 조정,,http://www.xbrl.org/2009/role/commonPracticeRef,IAS,7,20,,,,,,,,dart_all,
111,dart,AdjustmentsForLossOnDisposalOfInvestmentsInAssociates,관계기업투자자산처분손실,,http://www.xbrl.org/2009/role/commonPracticeRef,IAS,7,20,,,,,,,,dart_all,
112,dart,AdjustmentsForImpairmentLossInInvestmentsInAssociates,관계기업투자자산손상차손,,http://www.xbrl.org/2009/role/commonPracticeRef,IAS,7,20,,,,,,,,dart_all,
113,dart,AdjustmentsForReversalOfImpairmentLossInInvestmentsInAssociates,관계기업투자자산손상차손환입 조정,,http://www.xbrl.org/2009/role/commonPracticeRef,IAS,7,20,,,,,,,,dart_all,
114,dart,AdjustmentsForExpenseOfProvisions,충당부채전입액,,http://www.xbrl.org/2009/role/commonPracticeRef,IAS,7,20,,,,,,,,dart_all,
115,dart,AdjustmentsForExpenseOfProvisionForDecommissioningRestorationAndRehabilitationCosts,복구충당부채전입액 조정,,http://www.xbrl.org/2009/role/commonPracticeRef,IAS,7,20,,,,,,,,dart_all,
116,dart,AdjustmentsForExpenseOfOtherProvisions,기타충당부채전입액,,http://www.xbrl.org/2009/role/commonPracticeRef,IAS,7,20,,,,,,,,dart_all,
117,dart,AdjustmentsForReversalsOfProvisions,충당부채환입액,,http://www.xbrl.org/2009/role/commonPracticeRef,IAS,7,20,,,,,,,,dart_all,
118,dart,AdjustmentsForReversalOfProvisionForDecommissioningRestorationAndRehabilitationCosts,복구충당부채환입액 조정,,http://www.xbrl.org/2009/role/commonPracticeRef,IAS,7,20,,,,,,,,dart_all,
119,dart,AdjustmentsForOtherReversalsOfProvisions,기타충당부채의 환입 조정,,http://www.xbrl.org/2009/role/commonPracticeRef,IAS,7,20,,,,,,,,dart_all,
120,dart,AdjustmentsForProvisionForSeveranceIndemnities,퇴직급여 조정,,http://www.xbrl.org/2009/role/commonPracticeRef,IAS,7,20,,,,,,,,dart_all,
121,dart,AdjustmentsForOtherLongtermEmployeeBenefits,기타장기종업원급여 조정,,http://www.xbrl.org/2009/role/commonPracticeRef,IAS,7,20,,,,,,,,dart_all,
122,dart,AdjustmentsForOtherOperatingIncome,기타영업수익 조정,,http://www.xbrl.org/2009/role/commonPracticeRef,IAS,7,20,,,,,,,,dart_all,
123,dart,AdjustmentsForOtherOperatingExpense,기타영업비용 조정,,http://www.xbrl.org/2009/role/commonPracticeRef,IAS,7,20,,,,,,,,dart_all,
124,dart,AdjustmentsForNonOperatingIncomeExpense,영업외손익 조정,,http://www.xbrl.org/2009/role/commonPracticeRef,IAS,7,20,,,,,,,,dart_all,
125,dart,AdjustmentsForGainsLossesOnDisposalsOfNoncurrentAssetsHeldForSale,매각예정비유동관련처분손익 조정,,http://www.xbrl.org/2009/role/commonPracticeRef,IAS,7,20,,,,,,,,dart_all,
126,dart,AdjustmentsForNonOperatingIncome,영업외수익 조정,,http://www.xbrl.org/2009/role/commonPracticeRef,IAS,7,20,,,,,,,,dart_all,
127,dart,AdjustmentsForNonOperatingExpense,영업외비용 조정,,http://www.xbrl.org/2009/role/commonPracticeRef,IAS,7,20,,,,,,,,dart_all,
128,dart,AdjustmentsForGainsOnDisposalsOfNoncurrentAssetsOrDisposalGroupsClassifiedAsHeldForSale,매각예정비유동자산처분이익,,http://www.xbrl.org/2009/role/commonPracticeRef,IAS,7,20,,,,,,,,dart_all,
129,dart,AdjustmentsForLossesOnDisposalsOfNoncurrentAssetsOrDisposalGroupsClassifiedAsHeldForSale,매각예정비유동자산처분손실,,http://www.xbrl.org/2009/role/commonPracticeRef,IAS,7,20,,,,,,,,dart_all,
130,dart,AdjustmentsForImpairmentLossesOfNoncurrentAssetsOrDisposalGroupsClassifiedAsHeldForSale,매각예정비유동자산손상차손,,http://www.xbrl.org/2009/role/commonPracticeRef,IAS,7,20,,,,,,,,dart_all,
131,dart,AdjustmentsForOtherOperatingIncomeExpense,기타영업손익 조정,,http://www.xbrl.org/2009/role/commonPracticeRef,IAS,7,20,,,,,,,,dart_all,
132,dart,AdjustmentsForDecreaseIncreaseInFinancialAssetsAtAmortisedCostClassifiedAsOperatingActivities,상각후원가측정금융자산의 감소(증가) - 영업활동,,http://www.xbrl.org/2009/role/commonPracticeRef,IAS,7,20,,,,,,,,dart_all,
133,dart,AdjustmentsForIncreasedecreaseInProvisions,충당부채의 증가(감소),,http://www.xbrl.org/2009/role/commonPracticeRef,IAS,7,20,,,,,,,,dart_all,
